figure_id,source,model,model_label,split,horizon_steps,mean_nrmse,std_nrmse,mean_r2,std_r2,seed_count,comparison_note,paper_model_label,split_label
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,gaussian_process,Gaussian Process,test_fault,1,1.4931116082476878,5.506106021407529e-06,-0.0388649444625337,1.2643446411415543e-05,3,completed returned Phase16 forecasting baseline,Gaussian Process,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,patchtst,PatchTST,test_fault,1,0.6169498855651322,0.0159291403932005,0.8063392342499768,0.0207859568852938,3,completed returned Phase16 forecasting baseline,PatchTST,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,phase15_fixed_target_gate_airpls,phase15_target_gate_airpls,Target Gate-airPLS,test_fault,1,0.1437403261661529,0.0012580053718008,0.984004807472229,0.0006102717231429,5,fixed Phase15 target-gated Raman residual model,Proposed,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,random_forest,Random Forest,test_fault,1,0.8550316567760307,0.0026236675347711,0.6937616901168332,0.0012981917379538,3,completed returned Phase16 forecasting baseline,Random Forest,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,xgboost,XGBoost,test_fault,1,0.481211456708623,0.0020233524223018,0.8835679829385544,0.0008153192309254,3,completed returned Phase16 forecasting baseline,XGBoost,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,gaussian_process,Gaussian Process,test_fault,5,1.483610968348651,3.5868389363379068e-06,-0.0240656194094788,9.67963935512174e-06,3,completed returned Phase16 forecasting baseline,Gaussian Process,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,patchtst,PatchTST,test_fault,5,0.8507489913016681,0.0124290502700858,0.6421607856754971,0.0107772630747867,3,completed returned Phase16 forecasting baseline,PatchTST,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,phase15_fixed_target_gate_airpls,phase15_target_gate_airpls,Target Gate-airPLS,test_fault,5,0.3176997125148773,0.0046063777154808,0.9309074997901916,0.0016744880501342,5,fixed Phase15 target-gated Raman residual model,Proposed,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,random_forest,Random Forest,test_fault,5,0.8937649521334611,0.0013759644423667,0.6669033928408933,0.000505309353701,3,completed returned Phase16 forecasting baseline,Random Forest,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,xgboost,XGBoost,test_fault,5,0.6458292303520933,0.0010631659488407,0.8013280143514604,0.0005152924839367,3,completed returned Phase16 forecasting baseline,XGBoost,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,gaussian_process,Gaussian Process,test_fault,20,1.4973593657844289,4.85325940111039e-06,-0.0479095883259898,8.1494595468368e-06,3,completed returned Phase16 forecasting baseline,Gaussian Process,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,returned_phase16,patchtst,PatchTST,test_fault,20,0.9262064225019104,0.0317203253364957,0.6064060291127542,0.0182992865331587,3,completed returned Phase16 forecasting baseline,PatchTST,Fault batches
Fig56_phase16_returned_proposed_vs_strong_baselines,phase15_fixed_target_gate_airpls,phase15_target_gate_airpls,Target Gate-airPLS,test_fault,20,0.5360633850097656,0.0006347207420604,0.8405136704444885,0.0003213273867473,5,fixed Phase15 target-gated Raman residual model,Proposed,Fault batches
