figure_id,phase,experiment_name,comparison,split,horizon_steps,reference_model,reference_raman_method,candidate_model,candidate_raman_method,observed_nrmse_reduction,bootstrap_ci95_low,bootstrap_ci95_high,p_one_sided_candidate_better,effect_size_mean_over_std,bootstrap_repeats,sample_count,comparison_short,significance
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,ridge_only:none_vs_residual_process_tcn:none,test_normal,1,ridge_only,none,residual_process_tcn,none,0.0018999274335041,0.0014688184649811,0.0023519244794133,0.0004997501249375,0.1755103844782305,2000,2260,Residual learning vs ridge,***
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,residual_global_gate_tcn:airpls_snv_vs_residual_attention_tcn:airpls_snv,test_normal,1,residual_global_gate_tcn,airpls_snv,residual_attention_tcn,airpls_snv,0.0020223439015549,0.0016428908550558,0.0023941453663593,0.0004997501249375,0.2167679620591739,2000,2260,Attention fusion vs global gate,***
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,ridge_only:none_vs_residual_process_tcn:none,test_normal,5,ridge_only,none,residual_process_tcn,none,0.0175050240726632,0.0161225418471234,0.0189097618917458,0.0004997501249375,0.5213122670370794,2000,2260,Residual learning vs ridge,***
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,residual_global_gate_tcn:airpls_snv_vs_residual_attention_tcn:airpls_snv,test_normal,5,residual_global_gate_tcn,airpls_snv,residual_attention_tcn,airpls_snv,0.0014389320544134,0.0003296781649059,0.0025479207164399,0.0069965017491254,0.0534162370068363,2000,2260,Attention fusion vs global gate,**
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,ridge_only:none_vs_residual_process_tcn:none,test_normal,20,ridge_only,none,residual_process_tcn,none,0.0170811922602219,0.0155613668402497,0.0186121716351019,0.0004997501249375,0.4459679357576876,2000,2215,Residual learning vs ridge,***
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,residual_global_gate_tcn:airpls_snv_vs_residual_attention_tcn:airpls_snv,test_normal,20,residual_global_gate_tcn,airpls_snv,residual_attention_tcn,airpls_snv,0.0090197470270996,0.007971023913122,0.0101737110457259,0.0004997501249375,0.3303315411240097,2000,2215,Attention fusion vs global gate,***
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,ridge_only:none_vs_residual_process_tcn:none,test_normal,40,ridge_only,none,residual_process_tcn,none,0.0252833206584059,0.0233345058062184,0.027448271827541,0.0004997501249375,0.5248695804654834,2000,2175,Residual learning vs ridge,***
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,residual_global_gate_tcn:airpls_snv_vs_residual_attention_tcn:airpls_snv,test_normal,40,residual_global_gate_tcn,airpls_snv,residual_attention_tcn,airpls_snv,0.0097153942162626,0.0080724216883893,0.0114271338445242,0.0004997501249375,0.2450952377351939,2000,2175,Attention fusion vs global gate,***
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,ridge_only:none_vs_residual_process_tcn:none,test_normal,60,ridge_only,none,residual_process_tcn,none,0.0227246168742946,0.020642682852222,0.024952647233908,0.0004997501249375,0.4435902110366166,2000,2160,Residual learning vs ridge,***
Fig48_phase15_paired_bootstrap_effects,Phase 15,Strict gap completion against revision requirements,residual_global_gate_tcn:airpls_snv_vs_residual_attention_tcn:airpls_snv,test_normal,60,residual_global_gate_tcn,airpls_snv,residual_attention_tcn,airpls_snv,0.0055597237516576,0.0037481095586673,0.0073578572120804,0.0004997501249375,0.1280706631850925,2000,2160,Attention fusion vs global gate,***
