figure_id,phase,experiment_name,split,horizon_steps,ablation_variant,model,raman_method,mean_nrmse,std_nrmse,mean_r2,std_r2,relative_change_vs_no_raman_percent,seed_count
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,No Raman,residual_process_tcn,none,0.023666114360094,0.0001516481562687,0.9955137133598329,3.827028070618242e-05,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,Concat,residual_naive_raman_tcn,airpls_snv,0.0254798423498868,0.0003441285934887,0.9949915885925292,0.0001260113762025,7.66381824323109,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,Gate,residual_global_gate_tcn,airpls_snv,0.02499674372375,0.0005049518682867,0.9951365947723388,0.0001187614402898,5.622508804824151,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,Attention,residual_attention_tcn,airpls_snv,0.0233048189431428,9.409346743784152e-05,0.995614778995514,3.716820147521589e-05,-1.526635980262136,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,1,Target Gate,residual_target_gate_tcn,airpls_snv,0.0248424150049685,0.0005397664554415,0.9951645970344544,0.0001254014130771,4.970400408687563,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,No Raman,residual_process_tcn,none,0.0532448798418044,0.0004251445934494,0.9663920998573304,0.0005209788344886,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,Concat,residual_naive_raman_tcn,airpls_snv,0.0571715757250785,0.0007747130780298,0.9588912487030028,0.0008054341029385,7.374785885404643,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,Gate,residual_global_gate_tcn,airpls_snv,0.0524328351020812,0.0023468564280197,0.9638782978057862,0.0021545091425395,-1.5251132918994013,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,Attention,residual_attention_tcn,airpls_snv,0.0530616365373134,0.0007265069638987,0.9642669916152954,0.0015160019101973,-0.3441519729887976,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,5,Target Gate,residual_target_gate_tcn,airpls_snv,0.050365962833166,0.0015631441630474,0.965908932685852,0.0013977742450853,-5.406936811937478,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,No Raman,residual_process_tcn,none,0.0831779420375823,0.0003312798040709,0.9172542572021484,0.0003860221006058,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,Concat,residual_naive_raman_tcn,airpls_snv,0.0914033845067023,0.0010535879884864,0.9075335741043092,0.0018092210358296,9.888970882933757,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,Gate,residual_global_gate_tcn,airpls_snv,0.0907658219337462,0.0004916078183577,0.9079125404357912,0.0017165251386547,9.12246649807171,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,Attention,residual_attention_tcn,airpls_snv,0.0841940030455588,0.0006652463372319,0.9153008222579956,0.0013392980254238,1.2215510303410098,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,20,Target Gate,residual_target_gate_tcn,airpls_snv,0.0899766340851783,0.000219573450209,0.9101787805557252,0.0010388378236866,8.17367186666406,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,No Raman,residual_process_tcn,none,0.1325553685426711,0.0011105845712133,0.7451692461967468,0.0034972112540213,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,Concat,residual_naive_raman_tcn,airpls_snv,0.1413275271654128,0.0005658211596322,0.7272754788398743,0.0040239188377793,6.617731683887123,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,Gate,residual_global_gate_tcn,airpls_snv,0.1396767914295196,0.0011701793012563,0.7288496613502502,0.0061181491681734,5.372413780854129,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,Attention,residual_attention_tcn,airpls_snv,0.1325654387474059,0.0014725954528607,0.7500652432441711,0.0092717682381111,0.007596979922804,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,40,Target Gate,residual_target_gate_tcn,airpls_snv,0.1391534239053725,0.0012968280053459,0.7416354537010192,0.0088986653061518,4.97758441264295,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,60,No Raman,residual_process_tcn,none,0.1483792811632155,0.0004671258496133,-87.075,1.6679988541883408,0.0,5
Fig44_phase15_multimodal_residual_ablation,Phase 15,Strict gap completion against revision requirements,test_normal,60,Concat,residual_naive_raman_tcn,airpls_snv,0.1541925609111785,0.0015806312358887,-85.6139419555664,2.588791238104847,3.917851402426212,5
